overs,0,1,2,3,4,5,6,7,8,9,10
20,100,96.9,93,87.9,81.3,72.2,59.9,44.8,29.7,17.6,0
19,95.6,90.9,87.7,83,76.9,68.3,56.5,42,27.2,15.3,0
18,91.7,86.7,82.9,78.7,73.2,65.4,54.2,40.2,25.7,13.9,0
17,87.7,82.3,78.9,73.8,69.7,62.8,52.2,38.7,24.6,12.8,0
16,83.5,78.2,75.3,70.5,66.4,60.2,50.3,37.4,23.5,12,0
15,79.2,74.3,70.9,66.9,62.6,57.4,48.4,36.2,22.7,11.2,0
14,75.1,70.7,67.3,63.7,59.3,54.6,46.4,35,21.8,10.5,0
13,71.5,67.4,63.6,60.3,56.2,51.5,44.3,33.8,21,9.8,0
12,68.3,63.7,60.2,56.8,52.9,47.5,41.9,32.6,20.2,9.1,0
11,65,59.9,56.6,53.3,49.7,43.9,39.3,31.3,19.4,8.5,0
10,61.3,56,52.6,50.1,46,40.8,36.1,30,18.6,7.9,0
9,57.9,52.3,47.9,46.1,42.5,37.8,33.1,28.3,17.7,7.2,0
8,54,48.3,44.3,41.7,38.9,34.9,30.2,26.1,16.7,6.6,0
7,49.3,44.2,40.2,37.4,35.4,32.1,27.2,23.4,15.7,5.9,0
6,41.7,38.5,35.7,33,31.7,29,24.2,20,14.5,5.2,0
5,36.2,33.4,31,28.6,27.3,25.5,21.5,17,12.2,4.4,0
4,30.8,28,26.1,24.1,22.4,20.7,18.3,14.2,10,3.5,0
3,25.4,22.8,21.1,19.4,17.7,16.5,14.4,11.6,7.9,2.5,0
2,19.7,17.2,15.5,14.1,12.7,11.9,10.6,9.3,6.2,1.6,0
1,13.7,11.3,9.7,8.5,7.3,6.7,6,5.2,4.2,0.9,0
0,0,0,0,0,0,0,0,0,0,0,0
