Team,Score,Overs,RPO,Inns,Result,Opposition,Ground,Start Date
RCB,173/6,20,8.65,1,lost,v CSK,Chennai,22-Mar-24
CSK,176/4,18.4,9.42,2,won,v RCB,Chennai,22-Mar-24
DC,174/9,20,8.7,1,lost,v Punjab Kings,Mullanpur,23-Mar-24
Punjab Kings,177/6,19.2,9.15,2,won,v DC,Mullanpur,23-Mar-24
KKR,208/7,20,10.4,1,won,v SRH,Eden Gardens,23-Mar-24
SRH,204/7,20,10.2,2,lost,v KKR,Eden Gardens,23-Mar-24
RR,193/4,20,9.65,1,won,v LSG,Jaipur,24-Mar-24
LSG,173/6,20,8.65,2,lost,v RR,Jaipur,24-Mar-24
GT,168/6,20,8.4,1,won,v MI,Ahmedabad,24-Mar-24
MI,162/9,20,8.1,2,lost,v GT,Ahmedabad,24-Mar-24
Punjab Kings,176/6,20,8.8,1,lost,v RCB,Bengaluru,25-Mar-24
RCB,178/6,19.2,9.2,2,won,v Punjab Kings,Bengaluru,25-Mar-24
CSK,206/6,20,10.3,1,won,v GT,Chennai,26-Mar-24
GT,143/8,20,7.15,2,lost,v CSK,Chennai,26-Mar-24
SRH,277/3,20,13.85,1,won,v MI,Hyderabad,27-Mar-24
MI,246/5,20,12.3,2,lost,v SRH,Hyderabad,27-Mar-24
RR,185/5,20,9.25,1,won,v DC,Jaipur,28-Mar-24
DC,173/5,20,8.65,2,lost,v RR,Jaipur,28-Mar-24
RCB,182/6,20,9.1,1,lost,v KKR,Bengaluru,29-Mar-24
KKR,186/3,16.5,11.04,2,won,v RCB,Bengaluru,29-Mar-24
LSG,199/8,20,9.95,1,won,v Punjab Kings,Lucknow,30-Mar-24
Punjab Kings,178/5,20,8.9,2,lost,v LSG,Lucknow,30-Mar-24
SRH,162/8,20,8.1,1,lost,v GT,Ahmedabad,31-Mar-24
GT,168/3,19.1,8.76,2,won,v SRH,Ahmedabad,31-Mar-24
DC,191/5,20,9.55,1,won,v CSK,Visakhapatnam,31-Mar-24
CSK,171/6,20,8.55,2,lost,v DC,Visakhapatnam,31-Mar-24
MI,125/9,20,6.25,1,lost,v RR,Wankhede,01-Apr-24
RR,127/4,15.3,8.19,2,won,v MI,Wankhede,01-Apr-24
LSG,181/5,20,9.05,1,won,v RCB,Bengaluru,02-Apr-24
RCB,153,19.4,7.77,2,lost,v LSG,Bengaluru,02-Apr-24
