,batter,rating,deliveries
0,A Badoni,989.700000000001,180
1,A Kamboj,1000.5,2
2,A Manohar,979.9000000000003,16
3,A Nortje,989.5,9
4,A Raghuvanshi,993.1999999999983,109
5,AA Kulkarni,985.0999999999998,8
6,AD Russell,1012.8000000000005,141
7,AJ Turner,992.7000000000003,20
8,AK Markram,944.1999999999987,187
9,AM Rahane,947.4999999999984,200
10,AR Patel,983.2000000000011,183
11,AS Roy,1000.4,3
12,Abdul Samad,976.6000000000008,113
13,Abhishek Sharma,1042.6,248
14,Abishek Porel,1007.8999999999985,213
15,Akash Deep,1000.2,2
16,Akash Madhwal,1002.8,5
17,Anmolpreet Singh,986.9999999999999,7
18,Anuj Rawat,990.8999999999994,80
19,Arshad Khan,1026.0000000000007,52
20,Arshad Khan (2),996.5000000000001,4
21,Arshdeep Singh,997.3000000000001,4
22,Ashutosh Sharma,1008.2999999999995,118
23,Atharva Taide,995.9999999999995,41
24,Avesh Khan,1003.5000000000001,5
25,Azmatullah Omarzai,983.6000000000003,34
26,B Kumar,977.1,30
27,B Sai Sudharsan,1019.7999999999961,388
28,BR Sharath,990.1,5
29,C Green,982.6999999999997,185
30,D Brevis,981.9999999999999,60
31,D Ferreira,989.3000000000001,11
32,D Padikkal,935.7999999999995,60
33,DA Miller,973.3000000000003,149
34,DA Warner,959.6999999999986,130
35,DG Nalkande,993.9,11
36,DJ Hooda,979.1000000000004,107
37,DJ Mitchell,988.2999999999979,228
38,Dhruv Jurel,991.6999999999998,144
39,F du Plessis,998.5999999999975,276
40,G Coetzee,981.2000000000002,22
41,GJ Maxwell,951.2999999999996,46
42,Gulbadin Naib,998.1999999999999,15
43,H Klaasen,1020.0000000000007,293
44,HH Pandya,976.200000000001,154
45,HV Patel,973.0000000000001,19
46,Harpreet Brar,1012.3999999999999,59
47,Harpreet Singh,989.4000000000001,34
48,I Sharma,999.0,8
49,Ishan Kishan,970.8999999999992,222
50,J Fraser-McGurk,1052.9000000000003,150
51,JA Richardson,996.9,2
52,JC Buttler,991.0999999999977,266
53,JD Unadkat,996.8999999999997,27
54,JJ Bumrah,1008.0,12
55,JM Bairstow,992.9999999999984,197
56,JM Sharma,958.1,147
57,K Rabada,1013.6000000000003,17
58,KA Maharaj,996.1,2
59,KD Karthik,1040.1000000000008,195
60,KH Pandya,969.4000000000012,112
61,KL Rahul,978.8999999999978,398
62,KS Williamson,985.7999999999998,27
63,KV Sharma,1001.6999999999996,16
64,Kuldeep Yadav,1013.7999999999995,44
65,Kumar Kushagra,978.3000000000002,7
66,L Wood,1005.0000000000001,3
67,LB Williams,1000.5999999999999,2
68,LH Ferguson,999.1,1
69,LS Livingstone,974.7000000000002,82
70,Lalit Yadav,985.4000000000002,12
71,M Jansen,994.6999999999999,15
72,M Shahrukh Khan,1009.1999999999996,77
73,MA Agarwal,960.0000000000002,59
74,MA Starc,985.6999999999998,11
75,MJ Santner,975.5000000000002,18
76,MJ Suthar,996.4,2
77,MK Lomror,993.9000000000009,74
78,MK Pandey,1005.1,33
79,MM Ali,986.7000000000002,105
80,MM Sharma,974.7999999999998,16
81,MP Stoinis,993.399999999998,272
82,MR Marsh,980.0999999999997,41
83,MS Dhoni,1029.5000000000007,82
84,MS Wade,990.2999999999998,7
85,Mayank Dagar,999.2,1
86,Mohammad Nabi,987.8000000000001,31
87,Mohammed Siraj,1007.6,9
88,Mohsin Khan,1000.8,1
89,Mukesh Kumar,988.0999999999998,10
90,N Pooran,1053.7000000000007,296
91,N Rana,994.6999999999998,35
92,N Wadhera,977.7999999999996,90
93,Naman Dhir,998.8999999999993,84
94,Naveen-ul-Haq,1001.0000000000001,4
95,Nithish Kumar Reddy,987.5999999999984,221
96,Noor Ahmad,993.6999999999998,9
97,P Simran Singh,1000.3999999999977,216
98,PD Salt,1033.9999999999993,250
99,PJ Cummins,1036.2000000000005,99
100,PP Chawla,972.3000000000002,15
101,PP Shaw,993.5999999999995,125
102,Q de Kock,956.7999999999995,194
103,R Ashwin,969.0000000000001,76
104,R Parag,1005.2000000000004,407
105,R Powell,989.6000000000012,71
106,R Ravindra,985.399999999999,146
107,R Sai Kishore,999.5999999999999,6
108,R Shepherd,1007.4,24
109,R Tewatia,992.6000000000004,139
110,RA Jadeja,1011.9,191
111,RA Tripathi,1002.2999999999994,121
112,RD Chahar,1001.3999999999997,15
113,RD Gaikwad,998.4999999999984,425
114,RG Sharma,981.3999999999992,293
115,RJ Gleeson,1001.5,2
116,RJW Topley,1000.8,6
117,RK Bhui,980.8000000000001,9
118,RK Singh,992.5000000000002,117
119,RM Patidar,1035.2999999999997,237
120,RR Pant,1030.2999999999997,296
121,RR Rossouw,1023.1999999999989,122
