,bowler,rating,deliveries
0,A Badoni,991.6999999999999,12
1,A Kamboj,994.0000000000005,68
2,A Mishra,1000.4000000000003,12
3,A Nortje,957.6000000000007,140
4,AD Russell,1016.6999999999992,188
5,AK Markram,998.8999999999997,13
6,AR Patel,1017.8999999999991,265
7,AS Joseph,982.0999999999998,64
8,AS Roy,988.6000000000003,34
9,Abhishek Sharma,1011.1999999999996,42
10,Akash Deep,983.3999999999999,23
11,Akash Madhwal,973.999999999999,119
12,Arjun Tendulkar,998.9,15
13,Arshad Khan,1001.1000000000008,56
14,Arshad Khan (2),991.9000000000002,13
15,Arshdeep Singh,1028.1000000000022,326
16,Atharva Taide,997.8,1
17,Avesh Khan,1040.4000000000028,346
18,Azmatullah Omarzai,1003.7000000000004,131
19,B Kumar,1008.7000000000006,357
20,C Green,1028.500000000001,223
21,CV Varun,1081.700000000001,309
22,DG Nalkande,1009.0000000000001,31
23,DJ Hooda,1001.0000000000003,19
24,DJ Mitchell,986.2,38
25,DL Chahar,1015.3000000000014,146
26,G Coetzee,1007.5000000000014,216
27,GJ Maxwell,1034.8000000000002,98
28,Gulbadin Naib,995.5,6
29,H Sharma,984.9000000000002,12
30,HH Pandya,989.6999999999996,226
31,HV Patel,1045.1000000000008,317
32,Harpreet Brar,1002.6000000000006,230
33,Harshit Rana,1042.600000000001,264
34,I Sharma,1047.0000000000011,182
35,J Little,1017.8000000000002,25
36,JA Richardson,994.8999999999996,25
37,JD Unadkat,993.8000000000003,200
38,JJ Bumrah,1105.6,328
39,K Gowtham,991.8999999999997,13
40,K Rabada,1010.4000000000027,262
41,KA Maharaj,1011.5999999999993,36
42,KH Pandya,1026.2999999999995,205
43,KK Ahmed,1021.0999999999968,324
44,KR Sen,1012.7000000000002,79
45,KT Maphaka,975.1999999999995,39
46,KV Sharma,965.1000000000007,149
47,Kartik Tyagi,981.2000000000003,26
48,Kuldeep Yadav,1008.3999999999982,267
49,L Wood,971.0000000000003,38
50,LB Williams,1001.2999999999998,42
51,LH Ferguson,995.0999999999997,147
52,LS Livingstone,1022.8000000000002,75
53,Lalit Yadav,972.4999999999999,18
54,M Jansen,986.7000000000005,68
55,M Markande,979.3000000000001,142
56,M Pathirana,1075.5000000000007,145
57,M Shahrukh Khan,997.5999999999996,12
58,M Siddharth,1013.5000000000002,58
59,M Theekshana,1016.5000000000016,121
60,MA Starc,1035.7000000000003,267
61,MJ Henry,989.2999999999997,74
62,MJ Santner,1026.1999999999998,54
63,MJ Suthar,990.0,12
64,MK Lomror,998.8999999999999,9
65,MM Ali,996.3000000000002,49
66,MM Sharma,973.9999999999994,245
67,MP Stoinis,1018.3,87
68,MP Yadav,1042.8000000000006,76
69,MR Marsh,984.5000000000003,54
70,Mayank Dagar,975.3000000000011,72
71,Mohammad Nabi,987.2000000000002,74
72,Mohammed Siraj,1036.9999999999993,350
73,Mohsin Khan,988.999999999999,237
74,Mukesh Choudhary,984.6999999999999,7
75,Mukesh Kumar,1020.6999999999998,223
76,Mustafizur Rahman,1043.9999999999989,225
77,N Burger,1027.1000000000001,105
78,N Thushara,1028.7,172
79,N Wadhera,999.8000000000002,12
80,NT Ellis,1008.5000000000006,24
81,Naman Dhir,979.5000000000005,29
82,Naveen-ul-Haq,1005.7999999999995,232
83,Nithish Kumar Reddy,983.8000000000003,87
84,Noor Ahmad,1003.6000000000015,214
85,PJ Cummins,1009.6000000000018,375
86,PP Chawla,1031.9000000000003,215
87,PVD Chameera,979.5000000000003,19
88,R Ashwin,1019.3999999999995,346
89,R Dhawan,990.2000000000002,19
90,R Parag,994.1000000000003,19
91,R Ravindra,1007.6999999999999,12
92,R Sai Kishore,1019.9999999999994,93
93,R Shepherd,963.9000000000001,76
94,RA Jadeja,998.2000000000018,285
95,RD Chahar,1014.1999999999987,189
96,RJ Gleeson,994.3000000000004,51
97,RJW Topley,988.2000000000004,95
98,Ramandeep Singh,998.5,4
99,Rashid Khan,991.8000000000001,262
100,Rasikh Salam,981.8,156
101,Ravi Bishnoi,999.8000000000015,270
102,S Dube,999.5000000000002,6
103,S Gopal,999.3000000000001,42
104,S Joseph,998.8000000000006,30
105,S Sandeep Warrier,1009.8000000000004,70
106,SH Johnson,1004.3999999999997,99
107,SM Curran,993.6,254
108,SN Thakur,978.1999999999994,197
109,SP Narine,1078.800000000002,334
110,SZ Mulani,997.0000000000003,33
111,Sandeep Sharma,1041.199999999998,236
112,Shahbaz Ahmed,988.6000000000016,166
113,Shashank Singh,1008.1000000000003,6
114,Sikandar Raza,991.5000000000003,12
115,Simarjeet Singh,1029.0,80
116,Sumit Kumar,991.4000000000003,22
117,Suyash Sharma,978.9000000000002,25
118,Swapnil Singh,1013.0999999999999,92
119,T Natarajan,1051.5999999999976,332
120,T Stubbs,1025.7,13
121,TA Boult,1051.2999999999968,333
122,TM Head,981.2000000000002,10
123,TU Deshpande,1058.3,310
124,Tilak Varma,999.1999999999998,4
125,UT Yadav,1017.6000000000009,129
126,Umran Malik,993.6000000000001,7
127,V Kaverappa,1009.4999999999997,24
128,V Viyaskanth,989.5000000000008,60
129,VG Arora,1035.8999999999987,201
130,VR Iyer,980.0,6
131,Vijaykumar Vyshak,1007.6000000000005,90
132,WG Jacks,985.0000000000001,55
133,Washington Sundar,971.8999999999997,30
134,YS Chahal,992.3000000000004,362
135,Yash Dayal,1030.6000000000004,322
136,Yash Thakur,973.8,225
137,Yudhvir Singh,988.6000000000005,24
