,batter,rating,deliveries
0,A Ashish Reddy,1030.6000000000006,392
1,A Badoni,1005.2999999999996,1010
2,A Chandila,996.2999999999997,14
3,A Chopra,907.8999999999991,150
4,A Choudhary,1022.9999999999994,40
5,A Dananjaya,994.8000000000001,10
6,A Flintoff,986.0,114
7,A Kamboj,1001.4,4
8,A Kumble,1002.7999999999989,98
9,A Manohar,981.8999999999994,362
10,A Mishra,952.2999999999993,880
11,A Mithun,972.8999999999997,52
12,A Mukund,983.3999999999999,46
13,A Nehra,968.8999999999994,126
14,A Nortje,1009.4999999999989,102
15,A Raghuvanshi,1017.9999999999994,218
16,A Singh,944.3999999999999,20
17,A Symonds,962.9000000000013,1562
18,A Tomar,984.9000000000003,16
19,A Uniyal,987.8999999999999,14
20,A Zampa,942.9,50
21,AA Bilakhia,924.0000000000001,176
22,AA Chavan,993.9000000000001,22
23,AA Jhunjhunwala,939.6000000000018,436
24,AA Kulkarni,978.6999999999999,16
25,AA Noffke,970.1000000000003,24
26,AB Agarkar,986.500000000001,320
27,AB Barath,981.5000000000003,86
28,AB Dinda,955.1999999999989,100
29,AB McDonald,986.3999999999994,206
30,AB de Villiers,1042.3000000000022,6974
31,AC Blizzard,982.9000000000001,182
32,AC Gilchrist,1000.3999999999999,3110
33,AC Thomas,995.6999999999996,38
34,AC Voges,1017.1000000000006,286
35,AD Hales,981.8,238
36,AD Mascarenhas,933.2000000000002,158
37,AD Mathews,972.6000000000004,1198
38,AD Nath,925.1999999999999,198
39,AD Russell,1066.9,3030
40,AF Milne,957.9999999999995,62
41,AG Murtaza,993.3,28
42,AG Paunikar,939.2999999999995,122
43,AJ Finch,957.2999999999976,3392
44,AJ Hosein,1008.5,22
45,AJ Turner,966.1999999999992,62
46,AJ Tye,962.8999999999999,158
47,AK Markram,967.0000000000038,1574
48,AL Menaria,949.4999999999998,734
49,AM Nayar,903.9999999999995,1176
50,AM Rahane,972.9999999999858,7716
51,AN Ahmed,1028.1000000000001,54
52,AN Ghosh,974.6999999999998,16
53,AP Dole,1018.1999999999997,46
54,AP Majumdar,990.8000000000004,154
55,AP Tare,929.700000000001,570
56,AR Bawne,993.1000000000004,24
57,AR Patel,1013.6000000000028,2636
58,AS Joseph,998.5999999999997,64
59,AS Rajpoot,1020.1999999999986,82
60,AS Raut,951.9000000000015,344
61,AS Roy,983.0,48
62,AS Yadav,957.4000000000004,80
63,AT Carey,986.6999999999999,58
64,AT Rayudu,986.4999999999894,6980
